"relative_path","status","old_exists","clean_exists","old_full_path","clean_full_path","old_size","clean_size","old_modified_utc","clean_modified_utc","old_sha256","clean_sha256"
"src/kc_l/hierarchy/stats.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy\stats.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy\stats.py","1146","1146","2026-02-28T21:15:46.3282631Z","2026-02-28T21:15:46.3282631Z","093AA7978BB651B0DB5DE34771B43904DA1E027FF4FB18E7832FADA93048512A","093AA7978BB651B0DB5DE34771B43904DA1E027FF4FB18E7832FADA93048512A"
"src/kc_l/hierarchy/validators.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\hierarchy\validators.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\hierarchy\validators.py","2243","2243","2026-02-28T21:15:30.9299365Z","2026-02-28T21:15:30.9299365Z","7DA52A154D8E6E8FFACBC22FF573EEFBDDAB482B4656283BDAED088AC6206F4B","7DA52A154D8E6E8FFACBC22FF573EEFBDDAB482B4656283BDAED088AC6206F4B"
"src/kc_l/kc/__init__.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\kc\__init__.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\kc\__init__.py","1204","1204","2026-03-22T18:53:35.6623224Z","2026-03-22T18:53:35.6623224Z","BCE6580D6D01393CA2AB5635205181EB41713BC2BAA592ADE3C34A2785B90638","BCE6580D6D01393CA2AB5635205181EB41713BC2BAA592ADE3C34A2785B90638"
"src/kc_l/kc/downstream_library.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\kc\downstream_library.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\kc\downstream_library.py","11718","11718","2026-03-22T18:55:21.8921415Z","2026-03-22T18:55:21.8921415Z","FEB50D9EB699CC16D9AA5D0E1D6B0C3D4F0DB902F6352A98F927D72D1EAB29D7","FEB50D9EB699CC16D9AA5D0E1D6B0C3D4F0DB902F6352A98F927D72D1EAB29D7"
"src/kc_l/kc/draft_generation.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\kc\draft_generation.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\kc\draft_generation.py","79869","79869","2026-03-27T17:54:58.8962732Z","2026-03-27T17:54:58.8962732Z","97B35BA8A6B7726D2A661DBA959F171BD7DE39CA8F2FD16370F84D4934D97B0B","97B35BA8A6B7726D2A661DBA959F171BD7DE39CA8F2FD16370F84D4934D97B0B"
"src/kc_l/kc/drafting_input_overlay.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\kc\drafting_input_overlay.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\kc\drafting_input_overlay.py","22426","22426","2026-03-22T21:02:26.5428331Z","2026-03-22T21:02:26.5428331Z","398D18E95F7972BF648CD73E29744B8A2F345F328E5540F884B8BB797E19D54C","398D18E95F7972BF648CD73E29744B8A2F345F328E5540F884B8BB797E19D54C"
"src/kc_l/kc/exchange_matching_pilot.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\kc\exchange_matching_pilot.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\kc\exchange_matching_pilot.py","39647","39647","2026-03-26T18:54:10.0908945Z","2026-03-26T18:54:10.0908945Z","8CD2396AAF2F87478E65861F1CD0B30DC7744AEBDE78018656C6FA1C3AA1FD81","8CD2396AAF2F87478E65861F1CD0B30DC7744AEBDE78018656C6FA1C3AA1FD81"
"src/kc_l/kc/restarted_human_review_capture.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\kc\restarted_human_review_capture.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\kc\restarted_human_review_capture.py","18767","18767","2026-03-27T12:10:43.9705475Z","2026-03-27T12:10:43.9705475Z","288DF5C3965F5B67147370E1C7010B14D4AAE42888F6889638310F6031FD1ECC","288DF5C3965F5B67147370E1C7010B14D4AAE42888F6889638310F6031FD1ECC"
"src/kc_l/kc/restarted_human_review_pass.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\kc\restarted_human_review_pass.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\kc\restarted_human_review_pass.py","56344","56344","2026-03-24T15:48:49.1688320Z","2026-03-24T15:48:49.1688320Z","FC7833B1A891EF9933EF15BEE42D26E1D6624EA5AD8714E9D34F57D48B516482","FC7833B1A891EF9933EF15BEE42D26E1D6624EA5AD8714E9D34F57D48B516482"
"src/kc_l/kc/restarted_packet_failure_audit.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\kc\restarted_packet_failure_audit.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\kc\restarted_packet_failure_audit.py","40233","40233","2026-03-25T21:58:40.5284021Z","2026-03-25T21:58:40.5284021Z","608076175E8F7A95B71A4A91EE2F6E321BBFBA66B73AC9197F958CFD4A2F8B32","608076175E8F7A95B71A4A91EE2F6E321BBFBA66B73AC9197F958CFD4A2F8B32"
